,Unnamed: 0,iso3,age,female,urban,edu,year,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits,sum_food
6203,6203,BDI,999.0,999,999,999,2018,1.36127246730471,12.1484204775766,1.18570004212524,0.030741282998875324,6.70816256255954,9.62792254516447,0.339191546419853,98.2737276856265,1.99766387722498,1.36127246730471,1893.40922518401,94.5428965170906,2338.40588359906,292.758104870538,8.74764392488799,89.2368137887201,1934.59513653184,452.861800341989,6.26505434530319,26.8240462144212,126.129733216299,649.698779233944,58.336617963466,2.5487969640475,11.300592917666,9.07745546960958,57.5720887628973,62.9678211675319,0.0012109160921236796,0.0003490007630017738,0.013809397733557494,0.21870010389690225,0.0010091916520117185,0.0005588965715225204,0.004455598668646466,0.041744590240946046,0.01529142356961922,0.007200447642984041,0.042038258999201654,0.18066806471296204,0.008274966410445353,0.05150787545502655,0.051185682420461794,0.2374125246541548,0.09384177751755711,786.8419176549573
6767,6767,BEL,999.0,999,999,999,2018,1.5278551696009,12.7834707314408,1.97396167084378,0.09138550913364724,13.2081247493231,9.34798791333297,3.92324520354555,88.7485451260731,4.55054673482057,1.5278551696009,1549.30849100955,85.8363916165544,3894.72088608902,331.628219003667,8.34770860596335,182.973634997319,2586.25477106494,798.33087815059,19.3848662421609,17.0762699695647,263.354056615381,1291.73890776677,228.921679838768,2.70001544025724,13.6457486028432,15.3475588488036,86.2830448111624,50.5098912676803,0.0009455516424998155,0.002161357933005809,0.06207960918034258,0.18563004722351376,0.020536607041311637,0.06142686579637617,0.009167663105440262,0.018883572992395684,0.05515101636910425,0.02710755083186179,0.06341255864893315,0.05404181235505919,0.0032267288026526482,0.0043614016292467415,0.13219356173249877,0.10857001231436093,0.09971857326774955,1042.2075146146587
7331,7331,BEN,999.0,999,999,999,2018,1.51832234957833,13.7102355189073,1.1670016186044,0.03313052442008063,8.24587693238641,8.84483317335316,1.88972732869037,82.8968791511701,2.19157174975238,1.51832234957833,1773.85361256152,99.6362990074008,4080.3410106102,311.893844779034,10.9094488578775,79.9102095631089,2133.07355562641,486.852278956784,25.3630576026341,14.040145116448,111.526866449551,782.623819792888,100.659092284756,2.61847366817704,13.6885835754954,7.89650845894658,49.1586939458715,62.0840914360198,0.0007320519821320051,0.00027340499858278134,0.016783152936260398,0.23153711838866,0.009905028807038667,0.0025588975058860562,0.0125989991666898,0.030064808633780745,0.02365328014851784,0.035103799421971275,0.045454740155674224,0.2563952820804926,0.017567766617887108,0.03349186149856929,0.0153644677344214,0.13413976196182065,0.10124505354153454,738.5938212578992
7895,7895,BFA,999.0,999,999,999,2018,0.971201145017719,11.8111233326293,0.944875862678639,0.053461063396960405,10.1308534617122,8.43976107126658,2.64130607808323,31.2965583577953,1.31814764101827,0.971201145017719,617.492674894258,95.8609159555287,2013.68047627528,381.235421340956,17.7223840442428,101.695309150265,1811.88679203989,444.50276472246,6.80979352205564,14.8541779266478,94.8100002255782,1038.34036387278,159.045041505629,2.66989678486189,13.7288337119348,7.81933289868739,76.5050567609976,68.6154941758736,0.0014269114679685596,0.0006097727423109685,0.018082707974487692,0.1807648792538045,0.006061642784211709,0.0010309628548257105,0.005561556280076878,0.05697470498577449,0.005623563343382716,0.01606430102668226,0.11755643937666148,0.31331795273448987,0.043109894794344315,0.018086991067765467,0.03984389914022753,0.05355634371633716,0.06886641305968844,504.9517419211876
8459,8459,BGD,999.0,999,999,999,2018,1.1405917025571,15.0221514971268,0.480944250391321,0.031205919500526095,7.53274924536079,3.62644900552774,2.37402818621116,43.2921979840795,1.51875929783094,1.1405917025571,307.786748679415,220.320720000019,1320.85973367002,336.753451586305,10.3042138932614,111.794442110332,3977.1776765833,342.984408500658,0.433690567780844,23.9357398920003,57.5155891611039,408.544017088294,99.91630946446368,2.41471600859575,3.66145783486644,3.05159605370785,45.8650788436298,74.0272279861554,0.0004996284072684778,0.0006732371638977897,0.002993024943586782,0.008495416517789695,0.002443054253726389,0.00045109971163962646,0.009527896784009855,0.036161475897637727,0.006936532380169521,0.0003449411896246705,0.03064445105244302,0.5151992883909701,0.0005777130936232733,0.02510294936348227,0.08579224671062993,0.1954045586068735,0.04754656603210129,1151.456197117852
9023,9023,BGR,999.0,999,999,999,2018,2.06262587033967,37.6708062357687,0.985833941014749,0.08136528686636725,8.000733950376,12.7119740227143,5.40027267110549,93.83813839673732,2.68740959168377,2.06262587033967,801.734762792943,1.78930654684798,2208.82087453082,195.594203503067,8.2556723655669,24.1803104358863,2663.32908055095,445.456367704306,1.68189481068337,19.8489908490485,251.997158783908,912.439244195222,122.774026108445,3.07394427547086,10.0303208910171,12.9409505030249,61.8742094475262,52.0324632718637,0.0004496796114387857,0.0010711795182279614,0.025914966882738633,0.03016353627115359,0.31154784798520496,0.028003474726860995,0.008755842957470655,0.014077337540876471,0.04363094087885534,0.020819468057869966,0.015973760563674184,0.037874281144888736,0.007122891371323976,0.011207223975265366,0.05534638260946972,0.24728071523779213,0.05939518380052136,1614.4573294959848
9587,9587,BHR,999.0,999,999,999,2018,1.716605912697,23.5547843186343,1.68619328704481,0.08542391170865678,9.39277481663772,14.3138077492469,0.150697244966718,138.975199492091,4.05279511362849,1.716605912697,1150.04226904227,167.01321967165,3050.07294689761,349.500241086403,12.3679802772702,152.531207447392,5031.17655219814,637.855490171916,10.5652086274715,9.37914784619034,210.275706365102,1112.45996227732,53.3676572852975,2.72404804220656,14.2621782217432,10.7159333875989,82.3856512879556,53.8597144867398,0.0006747972718454297,0.0004792651533092639,0.01698067709409348,0.15160061512621367,0.04407174219894886,0.012412350405961628,0.020887863371913246,0.023800918531149174,0.026674690862561263,0.017215809801470642,0.010676755315796795,0.3022216717286865,0.014363557501564459,0.02592238738159426,0.0424803276788979,0.1239264516072157,0.080186207260121,1494.1916193281643
10151,10151,BHS,999.0,999,999,999,2018,1.1460838429787,14.5960738583827,1.26577477939244,0.14453942139469883,4.90720300198458,11.5211883454489,3.23406905469284,59.4259046616562,3.57211054514127,1.1460838429787,1073.47144064533,112.480630035405,1668.0521491665,155.528361167847,11.5063145616912,157.184608783917,2417.69574128811,513.754614806416,4.88849149104996,21.5741117727202,272.807405408476,854.915132060786,242.317091119154,2.63271700559189,7.4183109891693,11.0461235476638,69.38832540508,54.9132631159892,0.0004910302675505496,0.00019694991244349928,0.02217311655390235,0.2019043295556841,0.022379027901941004,0.011473624554889211,0.05087847735440275,0.020418253213807906,0.047498377993490444,0.01948453100505757,0.035307236320645495,0.2032605705732576,0.009561029245059178,0.0172234705947536,0.011271575476247535,0.10148155714240181,0.08045742093976667,1040.1149597811232
10715,10715,BIH,999.0,999,999,999,2018,1.68524079397113,21.7322032662246,1.403409008212,0.13487129727945113,6.93875607933418,8.318911849483,4.08718050722344,87.0593296993158,3.73262416192009,1.68524079397113,1037.94487902362,24.941680162732,3276.47550002681,253.551100357651,7.35131802808133,88.191275591369,2812.88156960679,721.344844100687,3.74667597116955,18.5508168643847,324.025264868906,571.73261292287,144.210757554193,2.51446102160194,19.0720661918764,9.85912242198293,81.9240059001119,51.0710698981846,0.0003456863370350373,0.0007922940863080291,0.011711790555525174,0.03641563041414898,0.03739322796817456,0.015854529382936786,0.01151121749591034,0.005120694074443967,0.0763375979298345,0.013654732079748872,0.022461521359299363,0.07297551204364962,0.004313422164314137,0.006881056883302274,0.08523767084001276,0.218215273553162,0.2459068455527423,2032.8618309851165
11279,11279,BLR,999.0,999,999,999,2018,1.98263453303637,26.9140332526236,1.62591450863027,0.11514679664997923,11.4606778740793,8.81856546134523,4.17802139359197,116.33082479462,4.07469098901461,1.98263453303637,925.833784488509,23.6124983849252,4105.47454341986,298.31424206705,16.34615198916,117.753473359921,3040.60636126833,780.087401695504,5.14199342232122,31.6917568476328,364.441817523031,782.644199012637,761.738370670235,2.61016647672251,14.269671206689,13.9144125060188,71.7648486001763,47.1860694023314,0.0006516663437423178,0.0009470711007267104,0.024058797659672462,0.03642912210199182,0.05449885886008851,0.0156805599639914,0.02739528918883185,0.01640314040177316,0.056063875520071284,0.030097087007847686,0.0272509489084146,0.14672633772628066,0.008322085373765841,0.05777935890861745,0.12836106085465673,0.06636059844946811,0.1878273449800802,1311.5167625888987
11843,11843,BLZ,999.0,999,999,999,2018,1.23332416880972,16.0089206431793,1.24931113473327,0.09627584353199227,8.33397411010741,13.4253234601475,2.99179810529144,90.7931317080416,3.19494205430842,1.23332416880972,822.110311904483,115.954906828396,2031.09902815298,214.200541969537,13.3463556977402,130.646504456489,1977.92988974816,674.852796472377,19.3645494424584,15.9414026032433,318.74502176856,792.775004149744,125.073726910372,2.59747864651441,10.8412193177485,7.73272689605857,66.0066876900424,57.8762363831784,0.0004731935176205023,0.001022010824126821,0.01754515417611364,0.2948770429391542,0.01347463248989215,0.006096813306235485,0.02167585495119764,0.018916605147405244,0.07366666160846302,0.04056436625730034,0.01986096978868443,0.1761392149960128,0.0015856204517914303,0.019809437708581106,0.029884655197071137,0.10659454936855578,0.0615373737398021,1391.2543470038527
12407,12407,BOL,999.0,999,999,999,2018,1.30097092959091,11.6971321768777,1.42770212059092,0.06863210747984053,7.6866168428283,4.95148939642428,2.23801634581837,70.9804758268992,3.45365288602414,1.30097092959091,670.876212109064,99.30556690209248,1891.70698943717,207.928624638617,18.1924189423032,138.118107917321,2238.71019129958,525.629794840885,7.66458670303568,8.81878513170056,280.613758439456,863.287055004888,17.0419076294154,2.59701155979941,11.1717533254905,11.4844755307065,56.2304276184657,48.8202899495434,0.0005436971416277393,0.0003818287286902634,0.020713946763447424,0.30048248613057804,0.014377722788275506,0.009356612585326617,0.018413943983359198,0.012036526381029825,0.0832256779405738,0.01422222930440557,0.025376222524578322,0.1959831178730048,0.010063181633894682,0.009735732864385978,0.04471728233494959,0.09690709063719874,0.07483059290483329,1157.1589464263634
12971,12971,BRA,999.0,999,999,999,2018,0.921196258917887,18.3357129262435,1.37900078691786,0.1684162964089718,11.8534883151885,5.66881540039433,2.66343413895772,133.842762551634,5.39514117055805,0.921196258917887,595.824885975357,74.4337571326223,2214.9691875791,234.467007824768,13.1125972321056,158.065678582596,3129.64375012375,550.620692375343,12.488372718579,28.785462593131,272.405766169591,1950.01550739027,107.039468901677,2.73385158411519,10.4451005491795,10.094794691406,93.5016977940049,52.8712884604651,0.00046349848147476654,0.0006628245073403236,0.058268640810729945,0.1470419258467168,0.009359712473812131,0.007913395976738798,0.014367802949330268,0.02670630842776225,0.0667350510985312,0.03881722159170768,0.0056685845078363415,0.19437402405763946,0.0002150929542232214,0.07584560571141419,0.02032233710930453,0.08630186318991148,0.07851981389655473,1082.7839960907993
13535,13535,BRB,999.0,999,999,999,2018,1.16416616719235,17.3713889110577,1.19226261425276,0.04210624344790353,5.20046501013495,12.0024380059666,3.09736099702014,73.860613687393,3.05563087040523,1.16416616719235,1030.11123846224,117.437755906943,1676.34140566513,250.934751545282,11.8863887217122,167.113485255625,2189.39421787361,584.023054102135,19.9473850274659,38.5961498678031,270.942398721048,259.656511149951,1547.45146106801,2.86974800477706,8.28326896822714,8.92376638407502,58.5079098392593,56.8119303939127,0.0004346314946734107,0.0005980975723320945,0.0030385438720121607,0.3777543474532931,0.013430496185515848,0.005084819656651592,0.04622182908725204,0.029877751683858967,0.04296584365728996,0.008091835803508664,0.05864495981061071,0.15558420007148854,0.005705022299097146,0.004495227696463326,0.028158498229322402,0.09337216002024801,0.08443549195847858,1533.6162846076852
14099,14099,BRN,999.0,999,999,999,2018,1.01455006399224,13.1435971300641,1.25641699796113,0.03749546757806326,5.15835348992707,17.5944002198097,0.41377134739672,41.824534268685,3.47701119748805,1.01455006399224,558.057031283393,120.09481101109,1504.38177889196,141.398508884168,9.65417447465205,134.69878684226,2742.51092205471,414.035476940581,22.5676496386469,15.6874260216313,339.788051054698,991.259381935116,625.928719242489,2.56643502787368,10.0544975576405,12.8714095352988,79.8330903763226,58.7076563864396,0.0004915174893557668,0.0013787510303113698,0.007922651475284417,0.13977457477723368,0.008271555892478433,0.0008725991259255464,0.026762874528245544,0.05540724927045478,0.07034568998202109,0.04087582142376153,3.955105298435151e-05,0.39184125558091826,0.0031007907130026473,0.025219647197049812,0.009570508064322428,0.11974018337780098,0.06088931144078604,1361.0466368476339
14663,14663,BTN,999.0,999,999,999,2018,1.36166613172752,16.3443840266902,0.827373547521474,0.06480860526322857,7.0160768453503,10.5394823300545,0.171684249744454,46.883791392838,1.95461666230154,1.36166613172752,756.550135316754,96.694024269306,1600.56187791884,292.929028845241,9.26568710234984,109.433175026087,3129.45835002074,485.170532716223,13.8585958937981,32.3168992916801,106.55856098474,709.824235214792,113.680317765223,2.58365143917176,6.02058364566182,6.60046632650754,55.4106527497436,68.1969319949735,0.000657478598993469,0.0004889473649771968,0.002447428365573091,0.06669393939162556,0.005950563092941061,0.0006100631318540639,0.009035593412468422,0.015468976796196477,0.012202908344784937,0.0011383679075305272,0.02867591462879227,0.4351781491254294,0.004139007822085982,0.044649481098008315,0.0581918899961373,0.1878880005143451,0.06177468514502813,1583.9078198913278
15227,15227,BWA,999.0,999,999,999,2018,1.6772701808197,19.8582613070648,1.23832157305431,0.07869288248446697,6.94505823437639,9.26860494684338,3.34138093326786,97.0635592730127,2.58034053302551,1.6772701808197,928.995497695814,85.9620903661283,1607.9125950407,306.627988313731,17.6027952753941,97.5558799024261,1932.83080439688,559.406433336798,14.8590169634284,37.3521254581782,166.715560970927,770.145853638888,36.6867758404372,2.71574096992615,11.4996929012996,8.5033211846106,86.711527112208,57.7711119762238,0.0010385508674791728,0.00030753669734100034,0.022308242383976027,0.38400268968033824,0.018964493365959886,0.0008163566419944551,0.009111547815654914,0.022300975663239582,0.02606302356551267,0.00996631270532383,0.06560231943303839,0.1254037658164954,0.03656007728009181,0.017475136542839574,0.03139407082809343,0.10310113431147473,0.046890883916679955,1085.952228069221
15791,15791,CAF,999.0,999,999,999,2018,1.51469874145967,17.125034031771,1.15755030751641,0.016717092126776984,6.65052671550639,10.3589278009128,2.09256712627346,93.9314468571124,2.31471275851696,1.51469874145967,1361.44925418792,91.3221288847628,3040.03540405739,312.429508530251,18.4958770816329,71.2970548351556,1859.56663519819,511.491650883921,0.128463044119981,23.5083580429034,147.217582365845,1066.36910044733,143.09132802492,2.73506536128787,9.79927389645988,9.0921613511993,69.7189088321812,60.8118627250923,0.0007069922953852616,0.0007192250453749118,0.029895760636809286,0.07616239547549863,0.011694906002859034,0.001867577517708627,0.008640178502006714,0.05613652228195451,0.11966562681476109,0.008385006776859596,0.07049587155348527,0.21496351020273777,0.011484201033346745,0.05496350733096656,0.02039058305272713,0.1526505436836882,0.14446049966705374,685.6520663792122
16355,16355,CAN,999.0,999,999,999,2018,1.79636877052433,42.2321119947365,2.06069953870908,0.17833179307294633,11.1666945267184,8.13432477961706,5.9698484965327,114.414504754089,4.42064917635428,1.79636877052433,841.37633992163,96.4809863529046,2832.16493583953,319.048284010311,12.3787924696305,195.922828614656,2842.78898368624,811.270480158102,9.95068228974135,15.3781811038357,277.8015411147,1692.3884649994,136.306001078751,2.53528352682272,12.0199559707882,10.9871739215021,83.9776996443303,49.5681235993765,0.0005730035719573518,0.0024602941647956316,0.07984224834787802,0.12516057501030764,0.023769555056172793,0.026533810887963742,0.02195970302887656,0.015530273663522153,0.040271745171068525,0.02111815722505701,0.05343100080858044,0.0988582206490565,0.015596207287847604,0.0169935684959294,0.0386618551948155,0.11846742732121286,0.122440561042012,1111.2145187992865
16919,16919,CHE,999.0,999,999,999,2018,1.86134992682571,24.2526536723478,1.70458303955489,0.11621974992293778,9.21859275657802,7.12868619246264,1.58522074472089,122.289472080567,4.52820168561713,1.86134992682571,585.480100570751,90.4529003179668,2587.40656802183,295.255175894401,7.01469276449842,183.128345323918,2642.94801052158,884.791253673113,5.15070345062378,15.5563640090119,251.554434626061,1336.20883284189,348.698908262828,2.65440730412331,13.5299936055903,13.587969492187,63.0193979359915,46.0480369026859,0.0008391074485547104,0.0014783578626123598,0.04369580297394761,0.12174716934761307,0.07151448025673648,0.031087148826087884,0.017294706614883987,0.043867381606790094,0.05210839028184001,0.022482986953465123,0.04854394121977678,0.08435546050348906,0.0075428868098786645,0.0028998741888295087,0.05854796632264188,0.12550955187792492,0.1502650369819901,918.1397500574377
