,iso3,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits,Country,Data until,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
19,CHL,1.02558169946277,13.5909807971119,1.66524459694155,189.810001623346,6.02693572006382,4.14199734296875,3.17888088654402,47.9839661243368,1.4826123098424,1.02558169946277,390.986289108463,120.817172574668,2144.25383639851,98.033309295233,11.4380195248167,164.054662020606,2508.07673543521,692.855432829575,15.3779608648033,22.302638174132,344.389445010736,787.740250541086,130.27370164804,3.2190032291595,10.5780346807091,10.745743551494,85.622330328873,61.3104487895346,0.638638082894185,0.245919323541117,5.38285471930519,301.890034167711,40.6124053930838,13.7501974030365,41.7446771830956,16.5504223357963,19.7506101109997,54.0051463053842,40.2015647682695,254.217586538771,17.8910666152025,12.8880614393896,19.8577837808017,140.178367863076,108.529407776906,Chile,"Jan 15, 2023",w,63496,60924,2976,20.5,0.96,318.7,54.0
20,COL,0.939811768727301,10.3654871626928,1.08095168862477,52.0134338420782,7.08596944265217,4.86029853415466,2.87605566465914,71.1599236280091,3.14499820014163,0.939811768727301,660.270799759127,107.885939897227,1499.6138245768,128.193877464657,9.20082676514356,166.672810719318,1128.61844737391,491.137081629294,14.1874697001292,17.9645827548482,272.411114822849,738.369089816681,115.18324232886,2.69009067263392,12.3314194465119,8.82620447378184,45.2178983261116,49.7425139646959,0.523245146242019,0.0311551512072168,55.0334595185787,722.80891011184,28.7020981658952,7.42237109344329,31.442326802211,40.4164164830753,98.386371963356,76.9449037108364,29.1653684804763,243.708289926572,45.1482623481617,25.7544882084672,46.1663717586485,96.4914944928729,100.546668601159,Colombia,"Nov 13, 2022",w,141862,188456,3600,52.4,1.33,370.4,75.1
21,CPV,1.68192235624958,16.895149857135,1.29353620068773,64.1010537719844,7.86418821207778,11.8324192231967,3.6488632471965,132.827582711504,2.51118699976112,1.68192235624958,1177.36402677304,95.34232440516672,2208.62104806391,303.514863418711,11.6222047861815,128.504872256963,2128.89174598128,620.094676855506,1.87512745960341,58.8207138658809,154.65401445205,797.369373935267,159.141149281477,2.71443824854098,12.2208587373496,11.4293058810821,74.7328687853736,57.7782168625917,0.559458844877134,0.439241280138884,15.7800445857213,98.2553290587131,13.5884667740595,1.37893692573976,18.5778313915753,26.4184190158328,21.4318334396276,7.08658447119348,63.4517471116147,215.969423211804,15.0110540944604,30.9623404428347,39.850623713279,194.782589503866,237.215166328854,Cabo Verde,"Dec 31, 2020",m,113,192,100,1.9,1.7,34.5,6.9
22,CRI,1.25834596808587,18.6578970298241,1.38312787189791,149.172909263466,8.74258766206145,5.28158294224699,3.77758757345752,59.7511057568624,3.38820846997427,1.25834596808587,1939.06173466311,116.899051802267,2287.8055788619,241.59910765411,6.48317640773448,162.816939078278,2578.37253625052,818.86921788564,13.9481498519277,23.8832115575628,295.543242374604,800.967703811155,185.000400689781,2.64265408548089,10.460140581725,10.9795336677449,67.2602300634875,55.9057941790394,0.713550931423547,0.152764815378785,27.0704031584679,220.92508048632,19.2245567112107,13.1389265418601,31.7504816263432,73.533840470611,76.1233169758358,46.0912667250457,36.8543823576072,234.899745516476,8.58101018744697,28.1633313084439,27.3500020942828,166.384419469575,130.842771556661,Costa Rica,"Dec 31, 2021",m,7357,5964,763,7.8,0.81,117.1,23.6
23,CUB,1.27633590075341,15.1196074135434,1.42948119790311,141.939480203317,8.9337611127947,7.25894090112971,2.86205337356769,82.5968003883725,3.40009886352385,1.27633590075341,1369.73848989335,108.320880348795,3365.90448054062,246.175343409957,6.88629693782576,167.759382830705,2387.12132344815,887.368334786102,15.8379055998529,7.01094787780503,379.78227363213,521.664534069796,40.8054988520966,2.59682476883829,14.1447170919529,6.66853271038375,79.5453545969327,58.3837422592262,0.547682215537974,0.148668590343498,28.0793780079685,348.446125390633,17.3292380413213,12.1136044502333,35.1127447600785,9.96900260799988,146.424883508603,40.875565885354,35.17372676733,225.518235748023,0.339240534362796,26.3213424878939,12.3425581142095,115.185409815561,130.49691305876,Cuba,"Dec 31, 2021",m,8322,53661,4255,12.6,6.45,473.8,47.9
24,CYP,1.57721833005116,21.2416210631822,1.57117440449871,81.8968479211894,6.7917870412746,11.7299248338707,2.68041683692196,71.5347800177406,4.5456120148884,1.57721833005116,703.315301300843,88.3879771755231,2200.47218933082,246.563769697482,16.2737114885828,170.729213225166,2569.22250881547,723.636097805585,7.94168191481738,11.7174193960378,248.275515398108,1797.22847574361,317.804659713332,2.752247787311,13.6905399183225,12.2033772079575,75.8626517518841,47.7210505012439,0.869008399637264,1.17504699824771,43.5496045720886,113.89045896032,45.3576046226627,36.4607515870981,15.3607160216676,22.5828247795273,71.6875243431652,9.758993463004233,112.823475816456,92.058625534171,4.48445402699561,30.890080811718,100.131047473632,118.496849957769,59.3767124044367,Cyprus,"Jan 01, 2023",w,1258,2064,408,5.1,1.64,171.0,32.7
25,CZE,1.5273550727,17.3806848687692,1.45359013306319,94.1788555242079,7.50998103243807,9.49126184321898,4.44978946260202,82.2468413281582,3.97392041165862,1.5273550727,1187.3957413907,25.0249364398289,2407.00924444017,203.708831683844,16.8380532592769,108.367130198136,2932.34630221408,595.077744952981,7.63972732732844,17.563638625557,312.175211699213,824.37983538622,683.932930862217,2.62893810813825,11.7408742592693,14.0757190758567,51.569264820715,46.3127093581379,0.578527825899513,0.355114742866365,22.0321358887908,53.9236115822407,101.30911044237,21.9253590533885,25.2380068304099,23.3040032208477,64.918428351418,41.7142991800311,35.4347148396837,16.9646671130383,3.04332296015121,12.5063010707605,67.8920208992601,105.592197654361,74.1121146548495,Czechia,"Dec 25, 2022",w,42096,46917,4504,10.4,1.11,438.1,40.7
26,DEU,1.43136571739004,21.2090809394167,1.7693525217983,170.906850793326,8.94034935862956,9.01941771416289,1.72292207921019,91.8361727519503,4.74488762304273,1.43136571739004,1042.77016625651,93.5006058724227,2918.00870029714,291.605388430573,8.47914308519735,105.517900164839,2429.96653932407,1000.10988400069,8.6785621905734,25.1231362331719,275.043021936591,1328.07818671073,206.313301171944,2.65333335377675,12.5837660615809,15.0180085929091,91.0433878397149,46.1043799845647,0.601057818678927,0.9946497687263172,35.0741366295312,101.910939390266,45.5075015741524,24.2307895378632,23.4624978771086,17.8277526051347,47.6550094354821,61.9345545040261,75.4735061697233,224.159785595957,3.16637347938949,5.25373944001769,67.6151438170332,193.22235051545,140.812759477238,Germany,"Jan 22, 2023",w,166591,203137,35321,5.8,1.22,242.5,20.9
27,DNK,1.66080551558505,20.1312690999939,1.98185481441553,187.417408065972,14.8401595992093,8.97588533374274,4.16052820634957,97.6315436586781,4.67117589459467,1.66080551558505,786.596002086626,84.8443210509714,3380.72794557371,335.591733687554,12.2469801824581,195.463917794601,2715.64781733736,1006.88023215502,17.6343645345193,22.7415327343388,255.393387574838,979.875770032162,314.290161497074,2.58229562236027,14.40758847337,13.8179732470643,86.6900780426473,47.5777848299479,0.890738051036184,0.569671122521395,42.5653320868402,69.9370042516472,61.2111830192789,28.4663680287027,14.8004409191606,36.287846037212,53.7886270098492,36.0542895290512,44.706938644718,16.3213676770638,8.19844329842798,23.1554267517591,45.4588533439319,121.010541489337,90.1526175014409,Denmark,"Jan 29, 2023",w,8128,5351,1478,3.6,0.66,92.4,9.5
28,DOM,1.40395363962316,21.2074612036943,1.2578931003191,101.496764164031,6.10785525816309,4.24412298345428,3.03188571650195,119.433518580889,3.40136492601823,1.40395363962316,2438.12606392316,110.941082085184,2145.35002891137,256.287470458065,4.80480241025704,146.771786419689,2340.73806693926,736.119769611345,9.00000093486666,18.3628984739246,273.07287009428,859.212207993129,142.195873562127,2.71787139801431,10.4750807517322,10.9363764272786,69.6764415859068,55.8727356685074,0.521749664612537,0.159424893860456,54.026401798681,258.662256978524,5.529896655556,8.49760357820948,19.9380376567221,15.8604985902293,49.7280696794917,36.3934225504243,16.5203678906956,290.148551773727,1.36375244055038,45.555604128991,44.9099259509966,103.544791973758,142.833554989226,Dominican Republic,"Oct 31, 2021",m,4130,5018,1296,3.9,1.22,46.3,11.3
