,iso3,age,female,urban,edu,year,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits
3359,ARM,999.0,0,999,999,2018,1.85830827291096,21.1419367309591,1.65684025982801,72.0847677905105,13.4798118921423,17.1533698199077,4.34908406961485,116.970060177182,4.03293427371488,1.85830827291096,1335.52995479759,23.579722824975,3842.04264499782,344.541799468759,12.9369291421782,106.219970972509,3013.93801894475,839.185003976734,11.8990155397552,34.9547845992957,332.634573580576,657.819332157824,151.807649893298,2.53187503107471,20.3189224078442,11.4620991413942,105.562904672406,48.1030002366187,0.665901570093242,2.45910060903744,25.7934666657914,72.4439417683249,86.4745849694757,18.2053837240368,39.1459276452861,47.1685672986983,65.4040888261628,109.926164708155,22.3515786764479,220.276479275374,19.0804994760719,15.2336090442093,50.6761191684567,87.5412880000264,80.9449372087349
3371,ARM,999.0,1,999,999,2018,1.78559313473665,19.8668443030089,1.58303526846559,74.1661853502434,12.5297146737509,16.7937438298326,3.92778775169502,125.712087017534,3.64770593053202,1.78559313473665,1373.08943543034,22.7227743300632,3839.43224103236,331.888472220943,12.2293326236038,95.3572761622724,2734.45754004788,869.342463769484,10.8217186646705,35.2653031820545,314.001454532185,582.496627700801,141.255061113752,2.55750002978281,19.3719116277855,11.9017370506945,99.4868732200954,53.8967087734822,0.691937006830512,2.67483790875301,26.3724845017841,61.5135387128216,99.30311434695632,19.4199718203575,40.2263058212156,48.5071361446941,64.6586945147234,102.652510604024,23.6812814163643,218.052891837607,18.6590108840717,14.2039961884991,45.6350836494236,103.503624021926,100.405266234391
3923,ATG,999.0,0,999,999,2018,1.14578635660778,16.5306855158623,1.26913884767518,102.743082111474,10.0886706917542,15.0677054507118,3.42058120907979,62.1854310284721,3.12587458293393,1.14578635660778,774.931490066443,113.616805875972,1787.72628169932,190.581133593955,12.0681800982453,133.656962435261,2413.49406653715,778.137546838253,13.9741692544708,25.1494441522607,214.103622924992,966.290626298255,776.661528206351,2.67132148057979,8.14473282707107,9.3570999025522,97.2854210021,55.7332862896487,0.624758117354138,0.289146055599466,19.6369263898541,372.71136441364,17.0547702716085,8.80188734464604,18.4561018100243,45.9782431826852,32.3325337251992,41.6838061195548,13.467627159611,156.946176919991,2.49553912903479,43.1255775221589,33.6572233291691,225.665808530329,91.0730579544796
3935,ATG,999.0,1,999,999,2018,1.12042701962447,16.0331238433211,1.24626567240663,106.48356579914,9.5064913576796,14.9199482737748,3.33126772547985,68.6744296007979,2.99350919695566,1.12042701962447,814.953079128006,113.510021698343,1833.59686217655,187.855995556187,11.8304615171065,131.34450661536,2342.52986597415,818.464657812217,14.4301643788249,25.6937029168509,204.989375573817,921.546684397289,752.879086139126,2.68382291653636,8.10047886139053,9.80364491346856,94.9307315176881,57.9522520138295,0.648367300753578,0.296623709826255,21.0706032713611,352.077886928692,19.3287450065321,9.42296775881652,18.7858662699976,46.9354867164672,31.2061330025219,39.1911511915825,15.0736195246354,159.489507319309,2.51960238498622,43.1515247031725,33.8210249356568,237.863735645318,98.9288758891442
4487,AUS,999.0,0,999,999,2018,1.71351658379503,22.3242718071259,1.92321538167451,212.386543736283,12.3315927706364,8.63288066260357,4.00109247423909,79.3454508582803,4.76833408762681,1.71351658379503,775.047673592617,87.1136050835088,2793.08082492534,300.801457753581,13.3423111634701,171.57699646639,2740.92248641114,686.399133817936,8.92441686883048,19.2363300700279,227.684888241893,1422.40309787724,567.219615582926,2.65476353713589,12.4104307903653,12.7978110307319,76.1581252261211,44.8781549551008,0.470185226419416,0.723998552333484,47.121236058854,131.695533768213,54.1330906219526,37.4684029475134,24.3594555616002,28.9262424406816,69.4220232995964,20.3789841627185,63.3367986202219,104.407810651117,7.74751059392254,24.7160604836069,95.9070652817567,111.569888426976,120.402941349894
4499,AUS,999.0,1,999,999,2018,1.63479681434289,20.6753961545124,1.85623527985465,197.328941174659,11.5069285689057,8.55945569396031,3.82014739016728,85.9818679754501,4.49122874314228,1.63479681434289,819.249943130342,83.5660457472773,2751.84506246609,294.779979641154,12.5245021442595,170.848385774699,2493.0248416194,661.059987889187,9.389785311963,19.4776270977545,226.347750902227,1469.74259785715,552.516081079784,2.65356679482203,12.4224754889032,13.0437399193631,71.3302808604138,48.0926752536508,0.508231837145396,0.697353613258725,51.238206762865,93.2912143045384,65.8772894170728,36.3793282304235,23.8625040114603,28.1362005158204,46.2723989015581,11.8817562316768,66.507474524008,95.93105127468752,6.9998936385139,21.6913843480273,87.1108073244633,121.859899356121,143.162261587146
5051,AUT,999.0,0,999,999,2018,1.80668896819846,21.6778375247576,1.80424763349012,114.024386539638,10.1688006092401,8.42195151949631,4.04533795008424,93.0301605481292,4.71410185835936,1.80668896819846,855.854473785844,92.0704815357381,3102.16914559742,291.596470665001,14.2048243480387,204.515121277681,3088.83847489114,723.574148245096,10.8942194812253,20.9292536749116,317.899340590719,1182.25426314186,402.85335285859,2.82022716062317,13.4741667534572,16.1880325431096,63.8067900894138,44.982783165463,0.360139347080696,1.20985062136308,24.9164446776189,107.567164785696,55.1801933605761,35.1938899944597,24.348579938111,21.5961141023059,116.390744504581,62.9015431363339,27.583820743487,24.0499712545925,5.47286860365975,6.72642190301874,75.3255492143574,104.271882549844,91.0617886828762
5063,AUT,999.0,1,999,999,2018,1.72001694371825,20.0389523866177,1.74419256424368,119.164170083503,9.455534706968407,8.35873277609087,3.8649613282076,100.520584589428,4.48191485376533,1.72001694371825,910.582300153693,88.8398615860609,3069.05914218525,285.74126498015,13.3203425725337,200.588502919028,2971.30390807363,763.04600388283,11.3818953463777,23.0715083073405,323.557891328489,1221.25470317097,394.176721587693,2.83389574660759,13.4585910404551,16.4432799407541,59.5414275231501,48.1954880573775,0.389803172734233,1.18197856062144,26.5195585799473,94.2734140404184,67.4424635213056,34.3046969267071,24.0036605792541,20.3821692637772,93.7536564980043,49.4847552239854,30.6440564979495,21.7713758010712,5.30299813698833,6.08843484956478,67.2527681382044,132.306046009752,119.512702613207
5615,AZE,999.0,0,999,999,2018,1.78421955338705,18.7022751678895,1.6084241341556,90.35710209217892,17.4326814435127,7.79664415248101,3.93264139424282,100.576815075502,3.88576979995858,1.78421955338705,513.768453580648,24.9428002748152,3667.00913292213,363.496321562965,15.3796445200242,97.6709729192129,2809.56769553908,773.048237122118,1.66517566615575,17.8895574479287,307.607494277868,534.251204227839,69.0376332845271,2.45095875702855,21.9513398008109,8.97192334961248,105.006451668818,49.9371417073026,1.03404946655595,0.90445443352509,32.0857613446568,55.5797337959419,27.8526262599208,31.2477508251264,38.9584160415993,20.5035319671651,98.7291908723026,104.256961006129,46.2033846234599,307.485472323267,33.0447800773714,14.7989537069148,109.599461254673,72.8990789019835,91.8152954622785
5627,AZE,999.0,1,999,999,2018,1.70002789852048,17.5845839538211,1.54135104384458,91.3362511937553,16.2505438584016,7.67178033057723,3.54535222761377,108.35254085369,3.5158715565735,1.70002789852048,531.645213739891,24.3362812718402,3670.54977559041,348.239065028836,14.451691982643,88.0288445093747,2554.52945643048,804.312844411391,1.46182879008964,17.8960677570863,291.183812024281,470.124357690051,61.9343245966543,2.4717343218942,21.0848835823997,9.34741763412048,98.58923792953732,55.6689453037814,1.21295183524567,0.95205649216665,33.9971841505277,48.5694569634901,32.246909557433,32.1982381174644,40.6796182111714,23.9024492383696,93.1262357212592,95.92019298356648,47.5256981436081,292.671427376749,32.2602930657501,14.2191394963037,99.9515136179713,82.2277835281848,117.576077024731
