,Unnamed: 0,iso3,Vitamin B9,Vitamin B3,Vitamin B2,Total Milk,Zinc,Vitamin E,Vitamin D,Vitamin C,Vitamin B12,Vitamin B6,Vitamin A,Selenium,Potassium,Magnesium,Iron,Iodine,Dietary Sodium,Calcium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits
563,563,AFG,1.10423683276094,13.5061135454717,0.959873474383906,69.7851930935144,7.6446912795165,6.42641285825064,1.59451870999112,42.126845016742,1.79936451806145,1.10423683276094,265.141829723329,79.0218041459128,1994.96469225237,240.378415969553,18.4530046204576,80.6876288838512,3146.32726626482,436.641414052884,11.668289816044,45.8000605790395,71.6696133144186,933.071489709475,2.50639893245083,2.62029213370112,5.01386499279147,7.48921135313332,59.1502741523475,67.4761279371533,1.7218340294934,0.561111582813878,3.95343897215079,88.6900861954826,10.2993514632618,0.585793026924718,8.14198278548536,3.23368280049833,8.68612745871792,2.2383170469671,41.5289237417322,223.168905247219,31.2056945432745,103.830266187879,21.1958084444979,98.0801235807033,65.697036145116
1127,1127,AGO,1.67414548753574,13.458251591844,1.29592564655568,32.7841324306599,7.2742863072773,7.97019990870521,1.71755613861766,179.500621945989,2.38550697779225,1.67414548753574,1124.85183053995,98.9737627642044,2624.15183166021,303.358851506823,16.6935201042793,54.7693133591269,1997.18839302902,444.466790753934,4.78647156676671,28.3661581100168,112.211291476255,736.610282819106,125.315841750776,2.68823182798539,10.1395780863652,10.6635878156331,37.8145441317716,60.1151303030857,0.545736020877276,0.665024561640617,17.0417205693144,212.263403534333,10.7282886797928,1.69552760164885,0.770339380153991,37.9707459109995,17.9568612729647,1.83442419770699,57.5924031056154,223.838503772877,11.6122457357973,37.7995569546306,346.377108824404,308.83700451499,119.746980178364
1691,1691,ALB,2.29915420531083,29.5772267884471,1.65071557950374,113.739784746836,7.99507488960318,15.1717984639958,5.0636765602551,128.67337529473,3.87796247925137,2.29915420531083,2685.17002390473,24.2778910534769,3078.15288727218,296.269134605471,8.05330744281639,112.606794688003,3273.05588904298,851.207773742015,32.5024165970556,30.3430490800099,407.458422738146,509.642282031706,150.680561743588,2.46962609940937,15.0386087990385,12.1131564299177,66.6630408499174,50.3201395179408,0.700919465909635,0.70545742981061,25.7322518648568,925.566741916604,82.8668319317555,16.6813587185641,87.3730006160373,18.3172919807951,67.9465391831228,73.4370678793932,31.2137724044105,252.814017587458,12.2727712037474,40.1813612518816,185.783632216577,129.083756861599,138.874360391486
2255,2255,ARE,1.36378602232106,23.5327565353388,1.66548903821843,129.185734039889,8.51432630945411,7.37901780348093,2.19713318940908,84.8658402288831,3.07217436012551,1.36378602232106,331.817549945321,98.6386264903245,2120.09914336182,290.625190751955,17.7703980569793,106.443681402756,3047.26835473608,597.073541229581,7.65038872351063,14.3203179190022,253.051948429344,1533.77750146583,11.6254379532406,2.43984910833832,10.5359764842194,8.8787616783442,80.1111782379218,58.2265815020098,0.885818203084121,1.09485064881331,24.4934753758448,132.651374042327,64.533174822762,20.2419392377867,29.8301299124778,40.5108374917372,29.4185721875957,38.3695652310023,37.1762837030434,337.642298589219,31.7293794737335,40.5638072899798,182.97228709186,123.284746613244,107.577819790244
2819,2819,ARG,1.22532001194784,18.2623023513008,1.42603525253498,136.438275333577,9.163603085231212,8.42458342005791,2.60830707778835,53.5166045648426,4.25594212814362,1.22532001194784,815.862749988454,105.001146681732,1640.32948111676,185.628053426715,13.2931665344902,171.034013954029,1676.14377807557,636.934696498777,11.6793289527669,11.9388911225485,265.914485602404,436.920709778392,106.332289077318,2.65909169363216,11.0123801783144,11.2844192981069,76.5775670732638,49.4621336157396,0.560877140063646,0.232476046617848,11.0013506458021,203.030144024641,38.9940380003991,32.4140070051721,30.1147102669951,11.5925898146802,87.9270464896275,24.1817763771211,10.8131373872743,174.327694648534,1.56476860854843,3.57500916483534,51.3361221249811,123.803276050558,93.9957873084252
3383,3383,ARM,1.81976452571453,20.5261544633213,1.61594395207035,73.4117523217622,12.9529913372586,16.989936929951,4.12928459327145,121.792325879166,3.82113419993538,1.81976452571453,1357.95017005009,23.5121510832447,3836.71913996319,337.635242496005,12.5732278422286,102.061519330474,2869.0296860188,856.003351789622,11.3776693965437,35.0578766059993,323.143377622786,619.695369179863,150.014078443336,2.54520946508913,19.8136612394795,11.6983906646305,102.427037720816,51.2095456144366,0.679728445419767,2.57296168759239,26.1522550860276,66.8386166715719,93.91931575899568,18.9386006042935,39.8514375069648,47.9030541043973,65.1955415678799,105.883031877815,23.3018612261091,219.78244031404,18.9043361676814,14.7079982406071,48.1662838914832,95.9320965742062,91.2343636248976
3947,3947,ATG,1.13322902435744,16.3221484713686,1.25902283568772,104.796461989753,9.81085653775853,14.9845466728511,3.39287807951326,65.5638914664671,3.05973016052328,1.13322902435744,798.265625092862,114.28236228367,1812.09809423519,189.554586551174,11.9456741205784,133.905416627014,2379.77778257768,798.053223038141,14.2284895743632,25.4516852101731,209.567726504619,947.201026236657,763.30867333228,2.67716405425166,8.13189170234955,9.58998137453388,96.2619802640029,56.8708760388201,0.637358991783812,0.293616075693843,20.4927165822497,363.237079040044,18.249257180429,9.16765868842256,18.6459490730626,46.4758394937468,31.8538068740528,40.500347742612,14.3176386062707,158.437178331108,2.51891631064462,43.4996331916561,33.8613505236561,232.098663906391,95.4918802292613
4511,4511,AUS,1.67487972406263,21.4801647326749,1.89337173212855,204.829473765643,11.9443920095469,8.63172040108533,3.93266106359904,82.7619222401031,4.63923589260337,1.67487972406263,801.600824932621,85.9712825102656,2778.9565448677,298.279454150176,12.9195719035953,172.155786424998,2616.95643395881,673.931344637601,9.21939443229092,19.3596435443781,227.233118311448,1456.54690234155,560.709275671188,2.65444307056295,12.4498402501582,12.9249976560447,73.7025287355427,46.4730659724017,0.48904964029461,0.713377719631445,49.6136858454359,112.759717059661,60.6526936101758,37.0495579929342,24.2038512896382,28.5753755440849,57.8815915541131,16.1607091483665,64.8906292666929,100.587985024284,7.38098061333479,23.1850047911062,92.259975895705,116.791222731272,131.918999095163
5075,5075,AUT,1.76279228234377,20.9067918062154,1.77235040396101,116.822929425457,9.794544849721612,8.41424498120349,3.95234739598051,96.8889856516798,4.6085753663684,1.76279228234377,884.024340715974,90.9511160785209,3082.69896333754,288.396765044357,13.7800086752143,202.058636311085,3030.65612410343,743.610664397916,11.1728280805837,22.0431592393074,320.783729010351,1204.70416225829,398.68584169994,2.82652988642226,13.4518331999794,16.310479914102,61.6851453108819,46.6104962094606,0.375186439060602,1.19657884901981,25.7422562069513,101.057177651066,61.6942714711522,34.9344634512322,24.1337804671092,21.052032235297,104.970007006298,56.3143193948204,29.168002851669,22.8939489804833,5.3898140554321,6.4253656824737,71.30680579966,118.441915626707,105.732200560184
5639,5639,AZE,1.74182323762509,18.1672757111794,1.57287987993657,90.9868728875596,16.8162282002553,7.75155780812915,3.74739780460735,104.590479064824,3.70878834857739,1.74182323762509,523.446927887789,24.8078206033887,3669.97991438034,356.131767820643,14.9596977279242,93.7102007209531,2686.08897202895,789.318255055785,1.58248968480005,17.9172530789501,299.524413609224,502.933044423756,68.1173146393837,2.46128269583268,21.4956980205187,9.152510387067608,101.857018353247,52.8050114760841,1.12385605180808,0.929287033648951,33.2416261994861,52.2607602297157,30.0849866316963,31.7975946166587,39.9357282590851,22.2884667711428,95.9194379672953,100.09127853328,46.8877431255718,300.782491715967,32.6994683393339,14.5544381751007,104.855943970826,77.6902062006813,104.818388315147
