,female,Tea,Coffee,Fruit juices,Sugar-sweetened beverages,Yoghurt (including fermented milk),Cheese,Eggs,Total seafoods,Unprocessed red meats,Total processed meats,Whole grains,Refined grains,nuts and seeds,beans and legumes,potatoes,non-starchy vegetables,fruits,Value
0,0,1.70696827588,0.563270297039835,3.73550998019172,91.54422712577592,9.6367228458255,0.565691466648069,7.89465859836003,3.0638172112762,8.25880023467223,2.37037523151281,40.9693176951378,232.18420459649,30.7276151560511,105.785594893862,21.3889450547232,96.95942882183772,64.3106927835214,3.2
1,1,1.73483223960208,0.556465566188862,4.07660673342918,84.8525714794142,10.6397296760373,0.59235764314294,8.34487221818122,3.39883388184266,9.0480616345748,2.04303316594897,41.436390617458,210.358575800387,31.3703628957223,100.309429600345,20.5091396307199,98.1059454067389,67.0453246556686,7.6
2,0,0.540364290380166,0.663227833735065,16.1489358180587,216.480273575314,10.0986936235256,1.58891231175157,0.734970024192538,36.8391837216537,17.4119688498816,1.90734668064835,57.3527022734431,219.589992089642,11.5313529971293,36.4857107595481,356.682549726478,303.751558559702,118.034637466345,4.0
3,1,0.551323873054985,0.667652523046047,17.7073604191555,207.467269230718,11.2548486387078,1.76019841892341,0.803275414311543,38.6317672553856,18.4771825708938,1.69385261526231,57.1677384513674,226.358374401519,11.4879953806137,38.3116240695963,336.14122996617,313.006360081398,120.99309289958,12.1
4,0,0.689969874789045,0.712167791694621,24.852839344274,965.526820953692,76.9476309981922,16.961698446943,89.8992980646626,17.8365670485926,72.4320007581743,78.7517466646587,30.6382467643224,260.208154121693,12.3589947376102,41.6358436078544,195.516010326349,120.039640244612,125.235001389435,21.6
5,1,0.711710363337912,0.697164311365489,26.2810191833761,887.343514861566,88.0930036931616,16.3491287874662,84.3776949363022,18.7629948747118,63.1122758170042,67.6567301285776,31.2297830927147,244.72316989568,12.1653141070266,38.541380208295,175.990453832469,138.071187319612,152.972054899697,21.8
6,0,0.900318396335461,1.14303146568283,23.7308689384243,132.017075190644,63.265204400723,20.0666142431696,30.1888820012891,41.1782893621433,29.5940911664844,40.3025636675145,37.7890384836482,341.014203834061,32.5174426651629,40.7163439718196,185.505513179001,120.812365414523,103.748335679953,27.5
7,1,0.849691823549567,0.97938227117368,25.9523171225935,133.149206600867,66.9213118697614,20.303890569164,28.7308195265501,38.5120319315076,28.719956659016,33.8107924853453,35.1912594326275,328.360750284599,29.5440218437719,38.8011317621649,176.92666602856,129.041928802971,116.159582794822,41.0
8,0,0.532813376081423,0.234146662790895,10.6792566368612,226.688477627689,38.3390267737947,32.6707698442105,31.1304490036666,11.3701388011092,90.2239142327342,27.2400864793051,9.87690922057965,174.575278496414,1.61971063390813,3.61908364415301,52.1067233933769,122.416539757889,91.8229504623319,27.3
9,1,0.587559001406361,0.230177619902509,11.2770392035794,179.58289683085,39.5242701517831,32.1746653765167,29.0824056982506,11.7615789380695,85.4393001743226,21.1333114064078,11.6759109246808,174.088541337288,1.51112549335481,3.53462845717501,50.4606387848932,125.382210902077,95.751661693977,29.0
