,Country Name,Dietary Sodium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Value
0,Afghanistan,3200.55427078335,9.36614800602085,45.7998018957359,73.2845097522439,924.147201698231,2.47944390038883,2.61634672874517,5.07692099675107,7.31509303953692,59.7880686212186,66.202232441101,3.2
1,Afghanistan,3100.74767329524,13.9369421859354,45.7266592230779,69.7106507984431,930.25441843534,2.35568052916478,2.62435434558791,4.94350780108293,7.59825841246897,58.3617420415504,68.8522930638335,7.6
2,Angola,2037.66429234534,4.5271707728795,27.92626347771,114.498067091404,722.736792338527,126.820550217827,2.68008547191275,10.2204818330418,10.4473090901624,38.7188722295855,58.233482798372,4.0
3,Angola,1948.53029426347,5.04495082513991,28.5602009631179,109.89861587371,749.214256898173,119.217044051131,2.69769710309176,9.98677502522922,10.8523674614439,36.885971839332,61.8723527059854,12.1
4,Albania,3429.34189052671,32.6458124643293,30.3572988156728,419.777458477276,540.43847300314,156.006262164184,2.46005090874629,15.4292882591687,11.9202495226713,68.8218302128669,47.4093744893955,21.6
5,Albania,3107.92528512217,32.3772314912754,30.2473907337759,394.647625242459,474.044362252559,137.51563612601,2.47962168846166,14.6348281616452,12.3407328877727,64.2825669190683,53.2375339401664,21.8
6,United Arab Emirates,3035.32842934159,7.23554160762979,14.5001884883531,251.906869044872,1521.51789559025,11.8830197332069,2.45217196294299,11.1855813074032,8.80581883023832,83.929249980457,57.7096716848699,27.5
7,United Arab Emirates,3052.25946521069,8.51783516057125,13.6551123822809,255.25574465598,1549.25599854753,11.1004373544671,2.41167122910783,9.052599326813493,9.058811200057352,71.3705333069044,59.3703571436716,41.0
8,Argentina,1825.95798582309,11.2158219632209,12.345968948481,274.760651350723,480.027835203063,109.295317074417,2.63145870769211,11.3584159480084,11.0550400673772,79.265934832418,46.9078294620617,27.3
9,Argentina,1530.77029426737,12.130030755649,11.5309222638845,257.828921502932,395.108422074292,103.091266167934,2.68509211014754,10.6753965786374,11.5095125014179,73.9796669775979,51.9316275402954,29.0
10,Armenia,3013.93801894475,11.8990155397552,34.9547845992957,332.634573580576,657.819332157824,151.807649893298,2.53187503107471,20.3189224078442,11.4620991413942,105.562904672406,48.1030002366187,17.1
11,Armenia,2734.45754004788,10.8217186646705,35.2653031820545,314.001454532185,582.496627700801,141.255061113752,2.55750002978281,19.3719116277855,11.9017370506945,99.4868732200954,53.8967087734822,23.0
12,Antigua and Barbuda,2413.49406653715,13.9741692544708,25.1494441522607,214.103622924992,966.290626298255,776.661528206351,2.67132148057979,8.14473282707107,9.3570999025522,97.2854210021,55.7332862896487,11.6
13,Antigua and Barbuda,2342.52986597415,14.4301643788249,25.6937029168509,204.989375573817,921.546684397289,752.879086139126,2.68382291653636,8.10047886139053,9.80364491346856,94.9307315176881,57.9522520138295,25.9
14,Australia,2740.92248641114,8.92441686883048,19.2363300700279,227.684888241893,1422.40309787724,567.219615582926,2.65476353713589,12.4104307903653,12.7978110307319,76.1581252261211,44.8781549551008,29.6
15,Australia,2493.0248416194,9.389785311963,19.4776270977545,226.347750902227,1469.74259785715,552.516081079784,2.65356679482203,12.4224754889032,13.0437399193631,71.3302808604138,48.0926752536508,28.4
16,Austria,3088.83847489114,10.8942194812253,20.9292536749116,317.899340590719,1182.25426314186,402.85335285859,2.82022716062317,13.4741667534572,16.1880325431096,63.8067900894138,44.982783165463,21.9
17,Austria,2971.30390807363,11.3818953463777,23.0715083073405,323.557891328489,1221.25470317097,394.176721587693,2.83389574660759,13.4585910404551,16.4432799407541,59.5414275231501,48.1954880573775,18.3
18,Azerbaijan,2809.56769553908,1.66517566615575,17.8895574479287,307.607494277868,534.251204227839,69.0376332845271,2.45095875702855,21.9513398008109,8.97192334961248,105.006451668818,49.9371417073026,15.8
19,Azerbaijan,2554.52945643048,1.46182879008964,17.8960677570863,291.183812024281,470.124357690051,61.9343245966543,2.4717343218942,21.0848835823997,9.34741763412048,98.58923792953732,55.6689453037814,23.6
20,Burundi,1977.35394650456,5.81068062070228,26.4117521578714,128.54587958688,627.971847999997,57.1787572881123,2.54101545150806,11.4386835233786,8.88650004787482,58.9871709459157,61.3139927081713,2.1
21,Burundi,1890.10253569495,6.54227622492657,27.0213615831491,123.393282074978,654.002969650092,54.1526458598708,2.55684584238277,11.1558726439844,9.2286007222045,56.1934554572293,64.6469941015612,8.6
22,Belgium,2727.8333344977,19.1959458466534,16.2090029389068,273.420281393388,1267.49016759903,231.50079511929,2.70418813305042,13.6367958056911,15.1691245648166,87.2868120584909,48.9531148926634,23.1
23,Belgium,2446.45473808931,19.5654300527138,17.9049181903982,252.11725019631,1308.49811527141,226.158971108471,2.69575331635192,13.6175576543738,15.5076946791451,85.0466844550821,52.1866576278253,21.0
24,Benin,2164.69436974746,25.1940812563191,13.8619873081645,113.523767206279,765.118880839786,102.942661737389,2.61327498771788,13.832623112378,7.71117225590561,50.222533503267,60.4000804163198,4.7
25,Benin,2085.07438172787,25.7244223250772,14.2417548239773,109.09582727057,789.620748639948,96.0993500855753,2.62497433810782,13.4990557222511,8.08572994901274,47.9479357073838,63.8284574676923,14.2
26,Burkina Faso,1854.38396614578,6.27143925048992,14.5764010608117,96.2119058640554,1015.92867989856,164.390375867076,2.66144874930928,13.8555375450983,7.62180737954374,75.6244668979999,66.3597335551391,2.6
